Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2010,9,Ohio,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,5,0,1,0,5,,,,,,,,
2010,12,Illinois,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3,1,3,0,3,,,,,,,,
2011,1,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,1,2,0,2,venison,venison,Game,,,,,
2010,7,Pennsylvania,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing; Cryptosporidium parvum",unknown; ,Confirmed; Confirmed,,2,0,2,0,2,,,,,,,,
2010,7,Minnesota,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Beach - Public,5,4,5,0,5,,,,Recreational water -- untreated,Lake/Reservoir/Impoundment,,,Reviewed
2010,4,Missouri,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Recreational facility,28,4,28,0,28,,,,Drinking water,Community,,,Reviewed
2010,11,Missouri,Water,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",unknown; O157:H7,Confirmed; Confirmed,Private Residence,11,3,11,1,11,,,,Drinking water,Individual/Private,,,Reviewed
2011,2,Ohio,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,1,3,0,3,,,,,,,,
2011,2,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,0,2,0,2,"ground beef, hamburger",ground beef,Beef,,,,,
2009,4,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,16,,,0,,lettuce; ambrosia,,Multiple,,,,,
2009,4,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,20,,,0,,ground beef,ground beef,Beef,,,,,
2009,3,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,77,35,64,,,cookie dough,,Multiple,,,,
2011,3,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,2,2,0,2,venison,venison,Game,,,,
2009,9,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",22,,,,,"romaine lettuce, unspecified",,Vegetable Row Crops,,,,
2009,8,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,32,19,,2,,"ground beef, other",,Beef,,,,
2009,3,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,23,6,,0,,"ground beef, other",,Beef,,,,
2010,7,Massachusetts,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",2,2,2,0,2,,,,,,,
2011,5,Louisiana,Environmental contamination other than food/water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,8,4,8,0,8,,,,,,,
2011,5,New York,Food,"Escherichia coli, Enterotoxigenic",O6:H16,Confirmed,Restaurant - Sit-down dining,19,0,19,0,19,tabouleh salad; spinach struedel,,Multiple,,,,
2009,10,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,25,9,24,1,25,needle tenderized steak,"steak, sirloin",Beef,,,,
2011,3,New York,Food,"Escherichia coli, Enterotoxigenic",unknown,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),53,0,16,0,16,hummus,,Multiple,,,,
2010,7,Arizona,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",16,5,14,0,16,pico de gallo,,Multiple,,,,
2010,4,Colorado,Animal Contact,"Escherichia coli, Shiga toxin-producing",O111:NM,Confirmed,,10,0,10,0,10,,,,,,Cattle,Cattle
2011,6,New York,Food,"Escherichia coli, Enterotoxigenic",,Confirmed,Restaurant - Sit-down dining,90,1,81,0,81,bbq tofu,,Multiple,,,,
2011,5,Idaho,Food,"Escherichia coli, Shiga toxin-producing",O121:H19,Confirmed,Private home/residence,2,2,2,0,0,,,,,,,
2011,5,Idaho,Person-to-person,"Escherichia coli, Shiga toxin-producing",O26:H11,Confirmed,Private home/residence,3,0,3,0,3,,,,,,,
2011,4,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,13,3,13,0,13,,,,,,,
2011,4,Tennessee,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; unknown,Confirmed; Confirmed,,9,2,2,0,0,,,,,,,,
2011,6,Ohio,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,1,2,0,2,,,,,,,,
2011,6,Idaho,Person-to-person,"Escherichia coli, Shiga toxin-producing",O26:H11,Confirmed,Camp,6,0,6,0,6,,,,,,,,
2011,3,Missouri,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,3,0,3,0,3,,,,,,,,
2011,6,Alabama,Water,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; unknown,Confirmed; Confirmed,Recreational facility,19,3,19,0,19,,,,Recreational water -- treated,Splashpad; Spa/Whirlpool/Hot Tub; Pool - Swimming Pool,,,Reviewed
2011,7,Massachusetts,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Beach - Public,8,3,8,0,8,,,,Recreational water -- untreated,Ocean,,,Reviewed
2010,10,Maryland,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,7,4,7,0,7,"apple cider, unpasteurized",,Fruits,,,,,
2011,6,Washington,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,6,1,6,0,6,,,,,,Cattle,"Cattle, calf",
2011,7,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Restaurant - Sit-down dining; Fair, festival, other temp or mobile services",2,1,2,0,2,"ground beef, hamburger",,Beef,,,,,
2011,7,Minnesota,Food,"Escherichia coli, Enterotoxigenic",,Confirmed,Prison/jail,209,0,209,0,209,,,,,,,,
2011,7,Ohio,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O111,Confirmed,,2,2,2,0,2,,,,,,,,
2011,7,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,6,1,6,0,6,fruit,strawberries; watermelon,Fruits,,,,,
2011,7,Pennsylvania,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Park - State Park,16,9,16,0,16,,,,Recreational water -- untreated,Lake/Reservoir/Impoundment,,,Reviewed
2011,7,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",2,0,2,0,2,,,,,,,,
2011,7,Oregon,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,15,7,15,2,15,strawberries,,Fruits,,,,,
2011,6,New Hampshire,Person-to-person,"Escherichia coli, Shiga toxin-producing",O111,Confirmed,Child day care,2,0,2,0,2,,,,,,,,
2011,8,Utah,Water,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; O121,Confirmed; Suspected,Camp/Cabin Setting,56,2,56,0,56,,,,Drinking water,Transient Noncommunity,,,Reviewed
2011,8,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,0,2,0,2,,,,,,Sheep or goats,Goat,
2011,8,Ohio,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,1,3,0,3,,,,,,,,
2011,7,Michigan,Food,"Escherichia coli, Shiga toxin-producing",O157:NM (H-),Confirmed,Restaurant - Sit-down dining; Private home/residence; Camp,12,8,12,0,12,ground beef,beef,Beef,,,,,
2011,8,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,2,0,,,,,,,,,,,
2011,7,Minnesota,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,4,0,4,0,4,,,,,,,,
2011,8,Pennsylvania,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,3,3,0,3,,,,,,,,
2010,5,North Carolina,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,,,0,2,,,,,,,,
2011,9,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,4,1,4,0,4,"ground beef, meatballs",ground beef,Beef,,,,,
2011,8,Michigan,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:NM (H-),Confirmed,,3,1,3,0,3,,,,,,Other small mammalian household pet; Other poultry; Baby chick or duckling; Dog or Puppy; Cattle; Sheep or goats; Sheep or goats; Other (specify); Other small mammalian household pet,"Rabbit; Chicken; Chick, baby chick; Dog, puppy; Cattle, calf; Goat; Sheep; Alpaca; Hedgehog",
2010,8,Maine,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,1,3,0,3,,,,,,,,
2011,5,Maine,Food,"Escherichia coli, Shiga toxin-producing",O26:NM,Confirmed,,2,2,2,0,2,,,,,,,,
2011,9,Kansas,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,2,2,0,2,,,,,,,,
2011,9,Kansas,Food,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,Unknown,4,3,4,0,4,,,,,,,,
2011,9,Idaho,Animal Contact,"Escherichia coli, Shiga toxin-producing",O26:H11,Confirmed,,2,0,2,0,2,,,,,,,,
2010,7,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,8,3,8,0,8,,,,,,,,
2011,7,Wisconsin,Water,"Escherichia coli, Shiga toxin-producing",O111,Confirmed,Beach - Public; Public Outdoor Area,4,0,4,0,4,,,,Recreational water -- untreated,Lake/Reservoir/Impoundment; Lake/Reservoir/Impoundment,,,Reviewed
2011,9,Idaho,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,5,1,5,0,5,"spaghetti, unspecified",beef,Beef,,,,,
2011,9,Minnesota,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,1,2,0,2,,,,,,,,
2011,7,Wisconsin,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",19,5,19,1,19,,,,,,,,
2011,8,Wisconsin,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,14,1,14,0,14,,,,,,,,
2011,9,Wisconsin,Food,"Cryptosporidium unknown; Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O111; O26,Confirmed; Suspected; Suspected,,12,0,12,0,12,,,,,,,,
2011,9,Ohio,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Long-term care/nursing home/assisted living facility,3,2,2,1,3,,,,,,,,
2011,10,Minnesota,Food,"Escherichia coli, Shiga toxin-producing; Cryptosporidium parvum",O111:NM; ,Confirmed; Confirmed,Other,14,0,14,0,14,"apple cider, unpasteurized",apple,Fruits,,,,,
2011,10,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:NM (H-),Confirmed,Child day care,2,0,2,0,2,,,,,,,,
2011,10,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private home/residence,2,1,2,,2,,,,,,,,
2011,7,Minnesota,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,,3,1,3,0,3,,,,,,,,
2011,8,Washington,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,3,3,3,0,3,milk,,Dairy,,,,,
2011,9,Georgia,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,1,3,0,3,,,,,,,,
2011,11,Louisiana,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,2,2,0,2,,,,,,,,
2011,12,Minnesota,Food,"Escherichia coli, Enteroaggregative",,Confirmed,Restaurant - Sit-down dining,12,0,12,0,12,"sandwich, ham",,Multiple,,,,,
2011,12,Virginia,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Child day care,4,1,4,0,4,,,,,,,,
2010,4,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O145,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Fair, festival, other temp or mobile services; School/college/university",31,14,31,0,31,"romaine lettuce, unspecified",romaine lettuce,Vegetable Row Crops,,,,,
2010,6,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,10,,,,,bison,,Game,,,,,
2011,6,Missouri,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; O45,Confirmed; Confirmed,,8,1,8,0,8,,,,,,,,
2011,12,Pennsylvania,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,,3,3,3,0,3,,,,,,,,
2010,5,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Grocery store,9,,,,,ground beef,,Beef,,,,,
2011,6,Texas,Water,"Shigella sonnei; Escherichia coli, Shiga toxin-producing; Plesiomonas shigelloides",subgroup D; ; ,Confirmed; Confirmed; Confirmed,Public Outdoor Area,56,1,,,,,,,Recreational water -- untreated,Lake/Reservoir/Impoundment,,,Reviewed
2011,12,South Dakota,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,1,2,0,2,,,,,,,,
